chr1	1590507	1590508	148	chr1	1590466	1590467	m	9.29865	-	-41
chr1	1590609	1590610	173	chr1	1590553	1590554	m	8.11703	-	-56
chr1	1590682	1590683	129	chr1	1590737	1590738	m	7.87805	-	55
chr1	1590702	1590703	80	chr1	1590737	1590738	m	7.87805	-	35
chr1	1590758	1590759	156	chr1	1590737	1590738	m	7.87805	-	-21
chr1	1590975	1590976	58	chr1	1590737	1590738	m	7.87805	-	-238
chr1	1591223	1591224	172	chr1	1590737	1590738	m	7.87805	-	-486
chr1	1655532	1655533	282	chr1	1655770	1655771	m	8.43186	-	238
chr1	1655606	1655607	186	chr1	1655770	1655771	m	8.43186	-	164
chr1	1655710	1655711	150	chr1	1655770	1655771	m	8.43186	-	60
chr1	1655725	1655726	137	chr1	1655770	1655771	m	8.43186	-	45
chr1	1655906	1655907	196	chr1	1655854	1655855	m	8.11703	-	-52
chr1	7611153	7611154	163	chr1	7611587	7611588	m	7.32385	-	434
chr1	7611178	7611179	210	chr1	7611587	7611588	m	7.32385	-	409
chr1	7611291	7611292	155	chr1	7611587	7611588	m	7.32385	-	296
chr1	7611295	7611296	162	chr1	7611587	7611588	m	7.32385	-	292
chr1	7611306	7611307	173	chr1	7611587	7611588	m	7.32385	-	281
chr1	7611327	7611328	126	chr1	7611587	7611588	m	7.32385	-	260
chr1	7611338	7611339	157	chr1	7611587	7611588	m	7.32385	-	249
chr1	7611357	7611358	179	chr1	7611587	7611588	m	7.32385	-	230
chr1	7611400	7611401	227	chr1	7611587	7611588	m	7.32385	-	187
chr1	7611482	7611483	124	chr1	7611587	7611588	m	7.32385	-	105
chr1	7611496	7611497	158	chr1	7611587	7611588	m	7.32385	-	91
chr1	7611518	7611519	106	chr1	7611587	7611588	m	7.32385	-	69
chr1	7611521	7611522	161	chr1	7611587	7611588	m	7.32385	-	66
chr1	7611522	7611523	100	chr1	7611587	7611588	m	7.32385	-	65
chr1	7611553	7611554	177	chr1	7611587	7611588	m	7.32385	-	34
chr1	7611586	7611587	151	chr1	7611587	7611588	m	7.32385	-	1
chr1	7611617	7611618	181	chr1	7611587	7611588	m	7.32385	-	-30
chr1	7611620	7611621	176	chr1	7611587	7611588	m	7.32385	-	-33
chr1	7611623	7611624	193	chr1	7611587	7611588	m	7.32385	-	-36
chr1	7611630	7611631	170	chr1	7611587	7611588	m	7.32385	-	-43
chr1	7611714	7611715	133	chr1	7611587	7611588	m	7.32385	-	-127
chr1	7611724	7611725	165	chr1	7611587	7611588	m	7.32385	-	-137
chr1	7611752	7611753	176	chr1	7611587	7611588	m	7.32385	-	-165
chr1	7611768	7611769	84	chr1	7611587	7611588	m	7.32385	-	-181
chr1	7611820	7611821	194	chr1	7611587	7611588	m	7.32385	-	-233
chr1	7611973	7611974	110	chr1	7611587	7611588	m	7.32385	-	-386
